Matrícula,Nome,Sindicato,Dias Úteis,Valor do VR,Valor Total,Valor Empresa (80%),Valor Descontado (20%),Status
34941,TECH RECRUITER II,São Paulo,22,37.5,825.0,660.0,165.0,Elegível
24401,COORDENADOR ADMINISTRATIVO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32104,ANALISTA CONTABIL-FISCAL II,Rio Grande do Sul,11,35.0,385.0,308.0,77.0,Elegível
35254,ANALISTA CONTABIL-FISCAL II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31731,ANALISTA CONTABIL-FISCAL III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31009,ANALISTA DE CONTROLADORIA I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
28979,ANALISTA DE CONTROLADORIA II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
24122,GERENTE CONTABIL-FISCAL,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35149,ASSISTENTE CONTABIL-FISCAL,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
25022,COORDENADOR CONTABIL-FISCAL,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32130,ANALISTA DE ADMINISTRACAO DE PESSOAS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32213,ANALISTA DE ADMINISTRACAO DE PESSOAS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34597,ANALISTA DE ADMINISTRACAO DE PESSOAS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
25314,ANALISTA DE ADMINISTRACAO DE PESSOAS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31868,ANALISTA DE ADMINISTRACAO DE PESSOAS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26314,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32337,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33856,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33883,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33395,COORDENADOR DE ADMINISTRACAO DE PESSOAS,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
